customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,support_tickets,tech_support,online_security,senior_citizen,partner,paperless_billing,churn
C3618,17,39.86,695.09,Month-to-month,DSL,Bank transfer,2,Yes,No,0,Yes,Yes,No
C1021,64,59.28,3803.01,One year,Fiber optic,Bank transfer,3,No,Yes,0,No,No,No
C1371,29,55.29,1604.47,Two year,No,Mailed check,0,No,No,0,No,Yes,No
C2606,55,80.51,4422.63,Month-to-month,DSL,Credit card,2,No,No,0,No,Yes,Yes
C2781,38,51.73,1997.42,Month-to-month,Fiber optic,Electronic check,1,No,No,0,No,Yes,Yes
C1154,28,51.02,1366.25,Month-to-month,Fiber optic,Electronic check,0,No,No,0,Yes,Yes,Yes
C2652,41,110.18,4589.72,One year,DSL,Bank transfer,1,No,No,1,No,Yes,No
C3503,54,60.07,3192.75,Month-to-month,Fiber optic,Mailed check,1,Yes,Yes,0,Yes,Yes,No
C1563,40,73.05,,Month-to-month,DSL,Electronic check,2,No,No,0,No,No,No
C1422,56,84.77,4752.37,Month-to-month,DSL,Bank transfer,3,Yes,Yes,0,No,Yes,Yes
C3187,70,36.43,2539.43,One year,DSL,Credit card,1,Yes,Yes,0,Yes,Yes,No
C1997,33,40.11,1412.24,Month-to-month,No,Mailed check,3,No,No,0,Yes,Yes,No
C1070,15,87.4,1388.25,One year,Fiber optic,Bank transfer,1,No,No,0,No,Yes,No
C2043,12,57.63,741.0,One year,Fiber optic,Credit card,3,No,No,0,Yes,Yes,Yes
C1317,68,92.6,6335.67,Two year,Fiber optic,Mailed check,2,Yes,No,0,Yes,No,No
C1617,33,50.03,1676.5,One year,No,Electronic check,1,No,No,0,No,No,Yes
C3317,64,39.5,2553.0,Month-to-month,No,Mailed check,1,Yes,No,0,Yes,Yes,No
C3760,51,68.59,3533.05,Month-to-month,No,Credit card,2,No,No,1,Yes,Yes,Yes
C2394,57,86.42,,Month-to-month,Fiber optic,Bank transfer,2,No,No,0,No,No,Yes
C2579,5,66.82,310.61,Month-to-month,DSL,Electronic check,0,No,No,0,No,Yes,Yes
C2107,21,31.44,598.62,Month-to-month,No,Electronic check,1,Yes,No,0,No,No,No
C2390,70,58.48,4003.67,Month-to-month,No,Mailed check,0,No,Yes,0,No,No,No
C1414,44,64.07,2870.68,Month-to-month,Fiber optic,Credit card,0,No,No,1,No,Yes,No
C3165,50,82.33,4106.3,Two year,Fiber optic,Mailed check,1,Yes,No,0,Yes,Yes,No
C2203,50,87.26,4371.0,Month-to-month,Fiber optic,Credit card,0,Yes,No,0,Yes,No,Yes
C3892,31,83.07,2589.2,Month-to-month,Fiber optic,Mailed check,1,Yes,No,1,Yes,No,Yes
C2833,65,59.26,3843.06,Two year,DSL,Electronic check,2,No,Yes,0,No,Yes,Yes
C1867,56,63.72,3566.34,One year,Fiber optic,Electronic check,2,Yes,No,0,No,No,No
C2582,50,86.86,4397.46,Month-to-month,Fiber optic,Credit card,0,No,No,0,No,Yes,No
C1557,60,47.51,2940.17,Month-to-month,No,Mailed check,1,Yes,No,0,No,Yes,No
C2532,10,92.71,968.83,Month-to-month,Fiber optic,Bank transfer,1,No,No,0,No,No,Yes
C3310,3,72.8,158.04,Month-to-month,Fiber optic,Bank transfer,1,No,No,0,No,Yes,No
C1781,46,61.4,2809.12,Month-to-month,No,Credit card,1,Yes,No,0,Yes,Yes,No
C3381,7,28.9,172.09,Month-to-month,Fiber optic,Bank transfer,2,No,Yes,0,No,Yes,Yes
C3706,67,71.24,4761.97,Two year,Fiber optic,Credit card,1,Yes,No,0,Yes,Yes,No
C2655,4,55.17,320.34,Month-to-month,No,Mailed check,0,No,No,0,No,No,Yes
C1933,7,47.54,306.61,Two year,DSL,Bank transfer,1,Yes,No,0,No,No,No
C3374,71,78.89,5559.32,Month-to-month,Fiber optic,Bank transfer,1,Yes,No,0,No,Yes,No
C2259,6,28.37,174.65,One year,DSL,Electronic check,1,No,No,0,Yes,No,No
C2027,11,67.48,737.36,Month-to-month,Fiber optic,Credit card,3,No,No,0,Yes,Yes,Yes
C3018,15,83.74,1297.38,Month-to-month,Fiber optic,Electronic check,0,Yes,Yes,0,Yes,Yes,Yes
C2585,35,60.93,2110.04,Two year,No,Electronic check,4,No,Yes,1,No,No,No
C1980,9,85.53,712.99,Month-to-month,DSL,Bank transfer,1,No,No,0,No,No,Yes
C3693,8,100.55,845.27,Month-to-month,No,Credit card,2,No,No,1,No,No,Yes
C2555,26,56.55,1324.46,Two year,Fiber optic,Mailed check,1,Yes,Yes,1,No,Yes,No
C1604,46,67.79,3140.83,Month-to-month,Fiber optic,Bank transfer,0,No,No,0,Yes,No,Yes
C3733,47,45.67,2117.23,One year,No,Mailed check,0,No,No,0,No,No,No
C3441,11,68.92,823.6,Month-to-month,No,Mailed check,3,No,Yes,0,No,No,Yes
C2589,7,72.3,507.55,Month-to-month,DSL,Electronic check,2,No,No,0,No,Yes,Yes
C1030,57,42.87,2438.38,Month-to-month,DSL,Credit card,3,No,Yes,0,Yes,Yes,No
C2207,70,96.89,6939.15,Two year,DSL,Bank transfer,1,No,Yes,0,No,Yes,No
C3039,50,26.31,1422.54,Month-to-month,Fiber optic,Electronic check,2,No,Yes,0,Yes,Yes,Yes
C3676,14,84.75,1188.97,Month-to-month,No,Credit card,0,No,Yes,1,No,Yes,Yes
C3128,54,74.45,3999.98,Month-to-month,Fiber optic,Bank transfer,2,Yes,No,0,No,Yes,Yes
C1979,48,32.81,1489.62,Month-to-month,Fiber optic,Electronic check,2,No,No,0,No,No,Yes
C2892,48,82.8,3899.26,Month-to-month,DSL,Bank transfer,0,No,No,0,Yes,No,Yes
C2969,50,87.75,4465.13,Month-to-month,DSL,Mailed check,3,No,No,0,No,Yes,No
C2047,47,76.78,3509.95,Month-to-month,Fiber optic,Mailed check,1,No,No,0,Yes,No,Yes
C1175,12,42.84,463.43,One year,Fiber optic,Mailed check,2,No,No,1,No,Yes,Yes
C3912,36,74.5,2709.2,Month-to-month,Fiber optic,Mailed check,1,No,Yes,0,Yes,No,Yes
C3435,8,55.36,427.07,Month-to-month,Fiber optic,Bank transfer,0,No,No,0,Yes,No,Yes
C2736,20,56.9,1214.34,One year,Fiber optic,Bank transfer,2,No,Yes,0,No,No,No
C1273,50,61.34,,Month-to-month,Fiber optic,Credit card,2,No,No,0,Yes,No,No
C2400,42,54.1,2274.03,One year,DSL,Electronic check,1,No,Yes,0,Yes,No,Yes
C2778,19,103.99,2006.3,Month-to-month,Fiber optic,Credit card,1,Yes,No,0,No,Yes,Yes
C1751,61,62.27,3806.71,Two year,Fiber optic,Credit card,0,No,No,0,No,Yes,No
C3359,6,49.17,200.19,Month-to-month,No,Mailed check,3,Yes,No,0,Yes,Yes,No
C1057,58,93.89,5460.51,Month-to-month,DSL,Electronic check,1,Yes,No,1,Yes,No,No
C1837,37,73.66,2708.71,One year,DSL,Electronic check,0,Yes,Yes,1,Yes,No,No
C1912,65,37.97,2435.09,Two year,Fiber optic,Credit card,1,No,No,1,No,Yes,No
C3882,25,68.49,1698.61,Month-to-month,No,Credit card,0,No,No,0,Yes,Yes,Yes
C3996,67,71.6,,Month-to-month,DSL,Mailed check,0,Yes,No,0,No,No,No
C2402,14,60.46,873.07,Two year,No,Credit card,0,No,Yes,0,Yes,Yes,No
C2729,47,87.77,4187.74,Month-to-month,DSL,Electronic check,0,Yes,No,0,Yes,Yes,No
C1250,1,62.16,0.0,One year,No,Bank transfer,2,No,Yes,0,Yes,No,Yes
C3602,56,81.41,4631.45,Month-to-month,Fiber optic,Electronic check,3,Yes,No,0,No,Yes,Yes
C1934,8,43.77,403.03,Month-to-month,No,Mailed check,1,No,No,0,Yes,No,No
C2817,7,63.66,479.12,Month-to-month,Fiber optic,Bank transfer,0,Yes,No,0,Yes,Yes,No
C3397,22,52.66,1071.3,Month-to-month,DSL,Mailed check,3,No,Yes,0,No,Yes,No
C2141,60,60.98,3576.24,One year,Fiber optic,Credit card,0,No,No,0,No,Yes,No
C1389,69,67.66,4698.88,Two year,Fiber optic,Electronic check,0,No,Yes,0,Yes,Yes,No
C3765,1,77.75,,Month-to-month,No,Electronic check,1,No,No,0,Yes,Yes,No
C3597,60,88.42,5336.13,One year,Fiber optic,Bank transfer,1,No,No,0,No,No,Yes
C3014,69,100.49,6992.55,Month-to-month,DSL,Credit card,2,Yes,No,0,Yes,Yes,No
C3861,3,73.11,194.41,Month-to-month,DSL,Credit card,2,No,Yes,0,Yes,No,Yes
C3544,28,59.3,1611.37,Month-to-month,Fiber optic,Bank transfer,0,No,Yes,0,No,No,Yes
C1410,59,78.6,4672.65,One year,Fiber optic,Bank transfer,2,Yes,No,0,Yes,Yes,No
C3437,45,69.67,3164.06,Month-to-month,Fiber optic,Mailed check,2,Yes,No,0,No,No,Yes
C3724,31,18.04,524.65,Month-to-month,DSL,Bank transfer,1,Yes,Yes,1,Yes,No,Yes
C2136,40,57.08,2241.71,Month-to-month,DSL,Electronic check,0,Yes,No,1,No,Yes,No
C3241,42,99.14,4125.49,Two year,No,Electronic check,0,No,Yes,0,Yes,Yes,Yes
C1087,9,116.76,1027.6,Two year,DSL,Credit card,0,No,Yes,0,Yes,No,No
C2042,55,88.56,4804.29,One year,DSL,Mailed check,1,No,No,0,No,No,No
C2499,48,89.84,4336.03,One year,Fiber optic,Bank transfer,0,No,Yes,0,Yes,Yes,No
C1210,56,64.06,3697.6,Month-to-month,DSL,Bank transfer,0,No,No,0,No,No,Yes
C1312,35,98.7,3477.05,Month-to-month,DSL,Credit card,1,Yes,Yes,1,Yes,No,No
C3021,62,71.54,4450.24,Two year,DSL,Electronic check,0,Yes,Yes,0,No,Yes,No
C1409,25,67.67,1654.95,Month-to-month,Fiber optic,Electronic check,0,No,Yes,0,Yes,Yes,Yes
C3053,49,29.06,1421.5,Month-to-month,DSL,Electronic check,2,Yes,Yes,0,Yes,No,Yes
C2957,15,93.5,,Month-to-month,No,Electronic check,2,No,Yes,0,Yes,Yes,No
C1471,70,74.84,5274.52,Month-to-month,DSL,Credit card,1,Yes,No,1,Yes,No,No
C3404,37,97.03,3600.62,One year,Fiber optic,Electronic check,1,Yes,Yes,0,Yes,No,No
C1069,68,34.18,2314.46,One year,DSL,Mailed check,2,Yes,Yes,0,Yes,Yes,No
C2433,34,65.82,2228.97,Two year,No,Mailed check,1,Yes,No,0,No,No,No
C2930,64,39.29,2484.78,One year,DSL,Bank transfer,0,No,No,0,Yes,Yes,No
C3259,15,86.63,1366.29,One year,Fiber optic,Bank transfer,1,No,Yes,0,Yes,No,No
C1880,2,39.43,105.6,One year,DSL,Bank transfer,3,Yes,No,0,No,Yes,No
C1977,44,70.65,3080.9,One year,Fiber optic,Credit card,3,Yes,Yes,0,No,Yes,No
C1332,65,68.74,4536.75,Month-to-month,Fiber optic,Electronic check,0,Yes,No,0,Yes,No,Yes
C3727,19,21.76,444.53,One year,No,Electronic check,2,No,No,0,No,Yes,Yes
C1458,55,90.1,5006.43,Month-to-month,Fiber optic,Electronic check,3,No,Yes,0,Yes,Yes,Yes
C1628,46,92.69,4251.54,Two year,Fiber optic,Mailed check,0,Yes,No,0,Yes,Yes,No
C3972,9,53.72,477.29,Month-to-month,Fiber optic,Mailed check,1,No,No,1,No,Yes,No
C2368,31,86.35,2668.59,Two year,DSL,Credit card,1,No,No,0,Yes,Yes,No
C3096,65,56.23,3719.49,Month-to-month,No,Electronic check,2,Yes,No,0,No,Yes,Yes
C1841,12,36.81,456.54,One year,DSL,Electronic check,1,Yes,No,0,Yes,No,No
C2032,67,52.47,3530.27,Month-to-month,Fiber optic,Mailed check,2,No,No,0,No,No,No
C2343,31,80.12,2502.43,One year,Fiber optic,Electronic check,1,No,No,0,No,No,No
C2831,68,70.04,4773.12,Month-to-month,DSL,Mailed check,3,No,No,0,No,Yes,No
C2051,69,62.31,4237.54,Month-to-month,Fiber optic,Credit card,0,No,No,1,Yes,Yes,Yes
C1898,6,91.79,588.72,Two year,DSL,Bank transfer,0,No,No,0,No,No,No
C2337,6,56.14,348.03,Month-to-month,DSL,Credit card,1,No,Yes,0,No,Yes,No
C3773,68,66.77,4544.99,Month-to-month,DSL,Credit card,0,Yes,No,0,Yes,Yes,No
C1890,71,51.18,3616.16,One year,Fiber optic,Electronic check,3,Yes,No,0,No,No,No
C3300,61,71.04,4337.18,One year,DSL,Bank transfer,0,No,No,1,Yes,Yes,No
C1928,57,75.59,4275.93,Month-to-month,DSL,Electronic check,2,No,No,0,No,No,No
C2894,45,74.99,3430.75,Month-to-month,DSL,Bank transfer,2,No,No,0,No,Yes,Yes
C2495,6,86.98,476.44,Month-to-month,DSL,Electronic check,0,No,No,0,No,Yes,Yes
C3009,10,45.63,412.1,Month-to-month,No,Electronic check,2,No,No,0,Yes,Yes,Yes
C1266,9,80.67,738.46,One year,DSL,Bank transfer,2,Yes,Yes,0,No,Yes,Yes
C3269,15,50.45,766.24,Month-to-month,No,Credit card,1,Yes,No,0,No,Yes,No
C2204,66,49.46,3337.54,Month-to-month,Fiber optic,Electronic check,0,No,No,1,No,No,No
C1164,49,64.64,3181.76,Month-to-month,DSL,Credit card,3,No,No,0,No,Yes,No
C3685,32,89.88,2858.14,Month-to-month,DSL,Bank transfer,1,No,No,0,Yes,Yes,No
C1209,45,103.92,4580.31,Month-to-month,DSL,Electronic check,1,Yes,No,0,No,No,Yes
C2706,20,48.34,981.96,Month-to-month,Fiber optic,Bank transfer,2,Yes,No,0,Yes,Yes,Yes
C2069,23,70.67,1677.8,Two year,No,Electronic check,0,Yes,Yes,0,No,Yes,No
C3338,59,101.15,5994.45,Month-to-month,DSL,Mailed check,0,Yes,No,0,Yes,Yes,No
C1398,32,58.48,1918.38,Month-to-month,DSL,Bank transfer,2,Yes,Yes,1,No,Yes,Yes
C2671,9,26.64,257.6,One year,No,Credit card,2,No,No,1,No,No,Yes
C2113,16,76.66,1218.86,One year,No,Bank transfer,0,No,No,0,No,Yes,No
C2065,52,34.78,,Month-to-month,Fiber optic,Electronic check,0,Yes,No,0,Yes,Yes,Yes
C1269,1,73.2,72.95,Month-to-month,Fiber optic,Electronic check,0,No,Yes,0,No,No,Yes
C2040,27,59.63,1582.27,Two year,DSL,Electronic check,2,No,No,1,Yes,No,No
C1871,40,65.25,2593.98,Month-to-month,Fiber optic,Mailed check,0,No,No,1,No,No,No
C3717,58,85.99,5003.76,Month-to-month,Fiber optic,Credit card,2,Yes,No,1,Yes,Yes,Yes
